refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.86;40-42;.Person.setPhone(String);42-44;.Person.setPhone(PhoneNumber)
Change Constructor Signature;constructor;0.71;7-10;.Person.Person(int, String);7-12;.Person.Person(int, String, String, PhoneNumber)
