precision,recall,f1_score,line_order_accuracy,similarity_ratio,total_expected_lines,total_merge_lines,correct_lines,extra_lines,missing_lines,error_rate,scenario,merge_file,expected_file,match_score,quality_issues,match_type,adjusted_f1_score
0.7777777777777778,0.30434782608695654,0.43750000000000006,0.08333333333333333,0.44,23,9,7,2,16,0.2222222222222222,scenario_9/person.java,person.java,person.java,1.0,[],exact_match,0.43750000000000006
0.8461538461538461,0.8461538461538461,0.8461538461538461,0.775,0.8607594936708861,26,26,22,4,4,0.15384615384615385,scenario_10/person.java,person.java,person.java,1.0,[],exact_match,0.8461538461538461
0.5806451612903226,0.6923076923076923,0.631578947368421,0.24444444444444444,0.7294117647058823,26,31,18,13,8,0.4193548387096774,scenario_2/person.java,person.java,person.java,1.0,[],exact_match,0.631578947368421
1.0,1.0,1.0,1.0,1.0,11,11,11,0,0,0.0,scenario_34/profile.java,profile.java,profile.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,7,7,7,0,0,0.0,scenario_34/addressbook.java,addressbook.java,addressbook.java,1.0,[],exact_match,1.0
0.5882352941176471,0.7692307692307693,0.6666666666666667,0.17543859649122806,0.7010309278350515,26,34,20,14,6,0.4117647058823529,scenario_4/person.java,person.java,person.java,1.0,[],exact_match,0.6666666666666667
0.8518518518518519,0.8846153846153846,0.8679245283018868,0.7111111111111111,0.8705882352941177,26,27,23,4,3,0.14814814814814814,scenario_3/person.java,person.java,person.java,1.0,[],exact_match,0.8679245283018868
0.125,0.07692307692307693,0.09523809523809525,0.0,0.25,13,8,1,7,12,0.875,scenario_25/phoneContact.java,phoneContact.java,contact.java,0.7368421052631579,['name_mismatch'],fuzzy_match,0.07017543859649122
1.0,1.0,1.0,1.0,1.0,18,18,18,0,0,0.0,scenario_25/user.java,user.java,user.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_29/position.java,position.java,position.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_29/organization.java,organization.java,organization.java,1.0,[],exact_match,1.0
0.8125,1.0,0.896551724137931,0.043478260869565216,0.9302325581395349,13,16,13,3,0,0.1875,scenario_29/employee.java,employee.java,employee.java,1.0,[],exact_match,0.896551724137931
0.0625,0.07692307692307693,0.06896551724137931,0.043478260869565216,0.27906976744186046,13,16,1,15,12,0.9375,scenario_32/student.java,student.java,studentDetails.java,0.6666666666666666,['name_mismatch'],fuzzy_match,0.04597701149425287
0.8125,1.0,0.896551724137931,0.043478260869565216,0.9302325581395349,13,16,13,3,0,0.1875,scenario_32/course.java,course.java,course.java,1.0,[],exact_match,0.896551724137931
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_32/studentDetails.java,studentDetails.java,studentDetails.java,1.0,[],exact_match,1.0
0.46153846153846156,0.46153846153846156,0.46153846153846156,0.6,0.6,13,13,6,7,7,0.5384615384615384,scenario_33/userProfile.java,userProfile.java,profile.java,0.7777777777777778,['name_mismatch'],fuzzy_match,0.358974358974359
0.8125,1.0,0.896551724137931,0.043478260869565216,0.9302325581395349,13,16,13,3,0,0.1875,scenario_33/profile.java,profile.java,profile.java,1.0,[],exact_match,0.896551724137931
0.8571428571428571,1.0,0.923076923076923,0.03225806451612903,0.9491525423728814,18,21,18,3,0,0.1428571428571429,scenario_33/user.java,user.java,user.java,1.0,[],exact_match,0.923076923076923
0.5172413793103449,0.9375,0.6666666666666667,0.023255813953488372,0.6865671641791045,16,29,15,14,1,0.48275862068965514,scenario_16/person.java,person.java,person.java,1.0,[],exact_match,0.6666666666666667
1.0,1.0,1.0,1.0,1.0,16,16,16,0,0,0.0,scenario_16/contactData.java,contactData.java,contactData.java,1.0,[],exact_match,1.0
0.6153846153846154,0.5,0.5517241379310345,0.5833333333333334,0.6818181818181818,16,13,8,5,8,0.3846153846153846,scenario_16/personalData.java,personalData.java,person.java,0.6666666666666666,['name_mismatch'],fuzzy_match,0.367816091954023
0.23076923076923078,0.46153846153846156,0.30769230769230776,0.0,0.4067796610169492,13,26,6,20,7,0.7692307692307692,scenario_14/person.java,person.java,personalInfo.java,0.6666666666666666,['name_mismatch'],fuzzy_match,0.20512820512820518
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_14/personalInfo.java,personalInfo.java,personalInfo.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_14/contactDetails.java,contactDetails.java,contactDetails.java,1.0,[],exact_match,1.0
0.0,0.0,0.0,0.0,0.0,13,3,0,3,13,1.0,scenario_17/person.java,person.java,Person.java,1.0,[],fuzzy_match,0.0
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_17/contactMethods.java,contactMethods.java,contactMethods.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_17/personIdentity.java,personIdentity.java,Person.java,0.6,['name_mismatch'],fuzzy_match,0.6
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_13/contactInfo.java,contactInfo.java,contactInfo.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_13/individual.java,individual.java,individual.java,1.0,[],exact_match,1.0
