precision,recall,f1_score,line_order_accuracy,similarity_ratio,total_expected_lines,total_merge_lines,correct_lines,extra_lines,missing_lines,error_rate,scenario,merge_file,expected_file,match_score,quality_issues,match_type,adjusted_f1_score
0.46153846153846156,0.46153846153846156,0.46153846153846156,0.3,0.55,13,13,6,7,7,0.5384615384615384,scenario_30/userContact.java,userContact.java,contact.java,0.7777777777777778,['name_mismatch'],fuzzy_match,0.358974358974359
0.46153846153846156,0.46153846153846156,0.46153846153846156,0.13636363636363635,0.6190476190476191,13,13,6,7,7,0.5384615384615384,scenario_30/contact.java,contact.java,contact.java,1.0,[],exact_match,0.46153846153846156
0.46153846153846156,0.46153846153846156,0.46153846153846156,0.6,0.6,13,13,6,7,7,0.5384615384615384,scenario_30/person.java,person.java,person.java,1.0,[],exact_match,0.46153846153846156
0.35714285714285715,0.43478260869565216,0.39215686274509803,0.12244897959183673,0.5411764705882353,23,28,10,18,13,0.6428571428571428,scenario_9/person.java,person.java,person.java,1.0,[],exact_match,0.39215686274509803
0.48148148148148145,0.5,0.49056603773584906,0.045454545454545456,0.4523809523809524,26,27,13,14,13,0.5185185185185186,scenario_10/person.java,person.java,person.java,1.0,[],exact_match,0.49056603773584906
0.4827586206896552,0.5384615384615384,0.509090909090909,0.18,0.6222222222222222,26,29,14,15,12,0.5172413793103448,scenario_2/person.java,person.java,person.java,1.0,[],exact_match,0.509090909090909
1.0,1.0,1.0,1.0,1.0,11,11,11,0,0,0.0,scenario_34/profile.java,profile.java,profile.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,7,7,7,0,0,0.0,scenario_34/addressbook.java,addressbook.java,addressbook.java,1.0,[],exact_match,1.0
0.16666666666666666,0.14285714285714285,0.15384615384615383,0.0,0.25,7,6,1,5,6,0.8333333333333334,scenario_34/address.java,address.java,addressbook.java,0.7777777777777778,['name_mismatch'],fuzzy_match,0.11965811965811965
0.4827586206896552,0.5384615384615384,0.509090909090909,0.5,0.5957446808510638,26,29,14,15,12,0.5172413793103448,scenario_4/person.java,person.java,person.java,1.0,[],exact_match,0.509090909090909
0.5,0.5769230769230769,0.5357142857142857,0.1,0.5,26,30,15,15,11,0.5,scenario_3/person.java,person.java,person.java,1.0,[],exact_match,0.5357142857142857
0.46153846153846156,0.46153846153846156,0.46153846153846156,0.13636363636363635,0.6190476190476191,13,13,6,7,7,0.5384615384615384,scenario_25/contact.java,contact.java,contact.java,1.0,[],exact_match,0.46153846153846156
0.125,0.07692307692307693,0.09523809523809525,0.0,0.25,13,8,1,7,12,0.875,scenario_25/phoneContact.java,phoneContact.java,contact.java,0.7368421052631579,['name_mismatch'],fuzzy_match,0.07017543859649122
1.0,1.0,1.0,1.0,1.0,18,18,18,0,0,0.0,scenario_25/user.java,user.java,user.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_29/position.java,position.java,position.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_29/organization.java,organization.java,organization.java,1.0,[],exact_match,1.0
0.46153846153846156,0.46153846153846156,0.46153846153846156,0.13636363636363635,0.5238095238095238,13,13,6,7,7,0.5384615384615384,scenario_29/employee.java,employee.java,employee.java,1.0,[],exact_match,0.46153846153846156
0.3157894736842105,0.46153846153846156,0.37499999999999994,0.0,0.4230769230769231,13,19,6,13,7,0.6842105263157895,scenario_32/student.java,student.java,studentDetails.java,0.6666666666666666,['name_mismatch'],fuzzy_match,0.24999999999999994
0.3684210526315789,0.5384615384615384,0.4375,0.03125,0.23076923076923078,13,19,7,12,6,0.631578947368421,scenario_32/course.java,course.java,course.java,1.0,[],exact_match,0.4375
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_32/studentDetails.java,studentDetails.java,studentDetails.java,1.0,[],exact_match,1.0
0.46153846153846156,0.46153846153846156,0.46153846153846156,0.6,0.6,13,13,6,7,7,0.5384615384615384,scenario_33/userProfile.java,userProfile.java,profile.java,0.7777777777777778,['name_mismatch'],fuzzy_match,0.358974358974359
0.7142857142857143,0.7692307692307693,0.7407407407407408,0.13043478260869565,0.6046511627906976,13,14,10,4,3,0.2857142857142857,scenario_33/profile.java,profile.java,profile.java,1.0,[],exact_match,0.7407407407407408
0.631578947368421,0.6666666666666666,0.6486486486486486,0.0625,0.4666666666666667,18,19,12,7,6,0.368421052631579,scenario_33/user.java,user.java,user.java,1.0,[],exact_match,0.6486486486486486
0.35714285714285715,0.625,0.45454545454545453,0.0425531914893617,0.5070422535211268,16,28,10,18,6,0.6428571428571428,scenario_16/person.java,person.java,person.java,1.0,[],exact_match,0.45454545454545453
1.0,1.0,1.0,1.0,1.0,16,16,16,0,0,0.0,scenario_16/contactData.java,contactData.java,contactData.java,1.0,[],exact_match,1.0
0.6153846153846154,0.5,0.5517241379310345,0.5833333333333334,0.6818181818181818,16,13,8,5,8,0.3846153846153846,scenario_16/personalData.java,personalData.java,person.java,0.6666666666666666,['name_mismatch'],fuzzy_match,0.367816091954023
0.24242424242424243,0.6153846153846154,0.34782608695652173,0.05660377358490566,0.410958904109589,13,33,8,25,5,0.7575757575757576,scenario_14/person.java,person.java,personalInfo.java,0.6666666666666666,['name_mismatch'],fuzzy_match,0.23188405797101447
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_14/personalInfo.java,personalInfo.java,personalInfo.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_14/contactDetails.java,contactDetails.java,contactDetails.java,1.0,[],exact_match,1.0
0.0,0.0,0.0,0.0,0.0,13,0,0,0,13,1.0,scenario_17/person.java,person.java,Person.java,1.0,[],fuzzy_match,0.0
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_17/contactMethods.java,contactMethods.java,contactMethods.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_17/personIdentity.java,personIdentity.java,Person.java,0.6,['name_mismatch'],fuzzy_match,0.6
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_13/contactInfo.java,contactInfo.java,contactInfo.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_13/individual.java,individual.java,individual.java,1.0,[],exact_match,1.0
