tool,total_files,perfect_matches,high_quality,medium_quality,low_quality,total_precision,total_recall,total_f1_score,total_similarity,name_quality_issues,structural_issues,avg_precision,avg_recall,avg_f1_score,avg_similarity
UnknownMergeTool,70,32,0,3,35,49.82918419575794,50.88303961441571,48.52337688045006,51.34245115869255,12,0,0.7118454885108277,0.7269005659202245,0.6931910982921436,0.7334635879813222
IntelliMerge,11,2,1,4,4,7.867778942980556,7.862809364548495,7.721265082052762,7.950435617545987,0,0,0.7152526311800506,0.7148008513225904,0.7019331892775238,0.7227668743223625
JDime,65,33,2,12,18,53.04637533089747,55.13928372352286,52.147196141686,55.01187784034902,10,0,0.8160980820138072,0.8482966726695824,0.8022645560259385,0.8463365821592157
