refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.68;20-22;.Person.setId(int);18-20;.PersonIdentity.setId(int)
Change Method Signature;method;0.67;16-18;.Person.getId();14-16;.PersonIdentity.getId()
Change Method Signature;method;0.68;24-26;.Person.getName();22-24;.PersonIdentity.getName()
Change Method Signature;method;0.71;32-34;.Person.getEmail();12-14;.PersonEmail.getEmail()
Change Method Signature;method;0.7;28-30;.Person.setName(String);26-28;.PersonIdentity.setName(String)
Change Method Signature;method;0.72;36-38;.Person.setEmail(String);16-18;.PersonEmail.setEmail(String)
Change Field Signature;field;1.0;3-3;.Person.name;3-3;.PersonIdentity.name
Change Field Signature;field;1.0;4-4;.Person.email;2-2;.PersonEmail.email
Change Field Signature;field;1.0;2-2;.Person.id;2-2;.PersonIdentity.id
