refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.77;38-40;.Person.getPhone();38-40;.Person.getPhoneNumber()
Change Method Signature;method;0.93;42-44;.Person.setPhone(String);42-44;.Person.setPhoneNumber(String)
